"epoch","Name: hopfield_mol - _step","Name: hopfield_mol - _step__MIN","Name: hopfield_mol - _step__MAX","Name: hopfield_mol - loss_to_report_val","Name: hopfield_mol - loss_to_report_val__MIN","Name: hopfield_mol - loss_to_report_val__MAX"
"163","326","326","326","0.14814766658152317","0.14694524680722307","0.14913230293077748"
"164","328","328","328","0.14872156889480787","0.14719954349493672","0.15114777463595033"
"165","330","330","330","0.15031215360651395","0.14723843820386628","0.15248941003682126"
"166","332","332","332","0.15025307831833729","0.14753762281802013","0.15270931482572286"
"167","334","334","334","0.14838909702710695","0.14603244754855788","0.15081367320638173"
"168","336","336","336","0.14998053034773545","0.14646974651390013","0.15201889012922373"
"169","338","338","338","0.1475181243158819","0.14457149305924274","0.15196057865030227"
"170","340","340","340","0.14848374505338605","0.14665369213663054","0.15207951730458738"
"171","342","342","342","0.148557709652791","0.1467248982036969","0.1513621601177338"
"172","344","344","344","0.14708951978047025","0.14546713657611043","0.14944637365173633"
"173","346","346","346","0.14978677462074602","0.1474561653872849","0.1513811698766053"
"174","348","348","348","0.14731931597139547","0.1457449659879747","0.14971732999720258"
"175","350","350","350","0.14846765484295177","0.14771081847110926","0.15091233424621697"
"176","352","352","352","0.14869676414820873","0.1455846451813327","0.15184904993750892"
"177","354","354","354","0.1485874858916568","0.14615519171392108","0.15053068217074977"
"178","356","356","356","0.14747153224499426","0.14632850698162544","0.14812199098644407"
"179","358","358","358","0.14842557519532468","0.14741287612594403","0.1492369234811073"
"180","360","360","360","0.1472145891214814","0.1452312512079684","0.1486901234082547"
"181","362","362","362","0.14724573433849414","0.1456077077719404","0.14850540217986044"
"182","364","364","364","0.14713657883444486","0.14511281613587904","0.1504812577268569"
"183","366","366","366","0.14828752269293047","0.1459177754866885","0.15052667583999407"
"184","368","368","368","0.1493263170063292","0.14628267608026949","0.1547891961142555"
"185","370","370","370","0.14854861795051044","0.1448331280510139","0.15362239312390152"
"186","372","372","372","0.14852270784130936","0.14620933347896964","0.15072496870418692"
"187","374","374","374","0.14816418344706514","0.14473471252087486","0.15021630134449834"
"188","376","376","376","0.1484654733371202","0.1467972866068588","0.15166286889993472"
"189","378","378","378","0.1489146171260734","0.1461283950652027","0.15241925342882093"
"190","380","380","380","0.14798128921134518","0.14538092813569575","0.1507377995071399"
"191","382","382","382","0.14723231720511323","0.1465500633236577","0.14857256549141093"
"192","384","384","384","0.14939256244050242","0.1463975730069317","0.15104317113859167"
"193","386","386","386","0.1485242762701648","0.14437189641106055","0.1521643342394294"
"194","388","388","388","0.14793408470327163","0.1471115496755077","0.14895989459980813"
"195","390","390","390","0.14859447659078662","0.14653547498261554","0.1521523969289471"
"196","392","392","392","0.14888905685981987","0.14621616218539107","0.15079583556155748"
"197","394","394","394","0.15022696597834","0.1478806958218131","0.15168670925550082"
"198","396","396","396","0.14795339641404384","0.14736354225409137","0.1489135441897701"
"199","398","398","398","0.14771438509473836","0.14504465137347372","0.15163695861563392"
"200","400","400","400","0.14920242797381536","0.1476358857968544","0.15010929528439368"
"201","402","402","402","0.14747978445129806","0.14472381260193354","0.14954960553649194"
"202","404","404","404","0.14925936332424694","0.14715703332975175","0.15060259679936638"
"203","406","406","406","0.14769437709097713","0.14600954778232697","0.15086335050132796"
"204","408","408","408","0.14848167623434755","0.1472480252491431","0.15002573389442378"
"205","410","410","410","0.14810527988928077","0.1458058599815301","0.15138152935230675"
"206","412","412","412","0.14950307717139635","0.14462204795825548","0.15353349755869464"
"207","414","414","414","0.1486801955504084","0.14663857160984625","0.1505299172211059"
"208","416","416","416","0.14719282718601462","0.14373907502665567","0.1510670681510178"
"209","418","418","418","0.15014266736181325","0.14853380942316904","0.1522918390967479"
"210","420","420","420","0.14843524656307616","0.14597717416357858","0.15014310532628833"
"211","422","422","422","0.1488035205092335","0.14629190867678515","0.15111735422430297"
"212","424","424","424","0.1491721708787225","0.14572117981998597","0.15124669621266415"
"213","426","426","426","0.15082644187223512","0.1485057289356107","0.15396446427614108"
"214","428","428","428","0.14882518297181524","0.14642137133897362","0.15101353306328977"
"215","430","430","430","0.14764687447803532","0.1454171888164747","0.1499382475548935"
"216","432","432","432","0.14749036153020612","0.14434203747729982","0.15269047946081185"
"217","434","434","434","0.1486903810602513","0.14686703212172889","0.1515037187310537"
"218","436","436","436","0.1499626807813031","0.1458286315331717","0.15109895367369758"
"219","438","438","438","0.1504658325197783","0.14842506486556922","0.15296257446778871"
"220","440","440","440","0.14836246208275014","0.1453830359679971","0.15024006526008882"
"221","442","442","442","0.14979400570279178","0.14482764050741176","0.15396142543346683"
"222","444","444","444","0.14925501715217973","0.14652400124900367","0.15184730677223696"
"223","446","446","446","0.14984060060517493","0.1481783976241816","0.15147142042563969"
"224","448","448","448","0.1483116308787587","0.14565884232876622","0.15054158545320115"
"225","450","450","450","0.14764437274388653","0.146425703529953","0.14972227954052905"
"226","452","452","452","0.14913135245020062","0.14701955114970608","0.15163000649325897"
"227","454","454","454","0.14838773698255098","0.14487604570389342","0.15064616888880408"
"228","456","456","456","0.14755734869947193","0.14544141682746328","0.14964477329579845"
"229","458","458","458","0.14895583525912393","0.1474351303642877","0.14994485628939577"
"230","460","460","460","0.1498268115578415","0.147254070581788","0.1524663621957331"
"231","462","462","462","0.1485271586532723","0.14514081235508833","0.15058646147637683"
"232","464","464","464","0.14964921891196203","0.1472496559058058","0.1523047120538012"
"233","466","466","466","0.1496504162604886","0.14733211088643147","0.1508343801334328"
"234","468","468","468","0.14956388208729135","0.14642242992665622","0.1510413495527702"
"235","470","470","470","0.14845230877714916","0.14561135024929756","0.15126178728153983"
"236","472","472","472","0.148075117598659","0.14558875238408836","0.15249608029887796"
"237","474","474","474","0.14771427840942072","0.14591351305668118","0.15001327705123113"
"238","476","476","476","0.14736201816175618","0.14667577368946982","0.1495168070755806"
"239","478","478","478","0.14900624066682688","0.14724496756586758","0.15090601322212607"
"240","480","480","480","0.14845186975797842","0.1467983768914672","0.15188038382386443"
"241","482","482","482","0.1486622915905073","0.14681229830986106","0.15248629293613677"
"242","484","484","484","0.1484376348275831","0.14742537467711406","0.14948077456769487"
"243","486","486","486","0.14780947001388958","0.14591487923813887","0.15142810713101365"
"244","488","488","488","0.14832758726049367","0.14582033122995533","0.15120538775099981"
"245","490","490","490","0.14858210830803043","0.14677581508222934","0.15018804972136618"
"246","492","492","492","0.14884605775335255","0.14587916003278464","0.1508747786350928"
"247","494","494","494","0.14898773653061573","0.14568699382225866","0.1512556260824045"
"248","496","496","496","0.14847028058641346","0.14358273949872327","0.15218999517388954"
"249","498","498","498","0.14734991028341973","0.14478116307184669","0.15059245347276237"
"250","500","500","500","0.14770044878889071","0.1464380188388305","0.14895394582130458"
"251","502","502","502","0.14866560696597636","0.14737226356402267","0.14930188710657097"
"252","504","504","504","0.14723630822560768","0.14501861642525574","0.14995448568895922"
"253","506","506","506","0.14866905722374107","0.1451963368145659","0.15057091048353993"
"254","508","508","508","0.14956993773467955","0.14607545050126092","0.1529074707077749"
"255","510","510","510","0.14716268764073406","0.14633301791065775","0.14826417720072024"
"256","512","512","512","0.14826926596333292","0.14626197993179382","0.15067567780424362"
"257","514","514","514","0.14730914513731613","0.14637653458664904","0.14865873822764974"
"258","516","516","516","0.14713876934259293","0.14530813204070897","0.1485854959222789"
"259","518","518","518","0.14906884767508385","0.14632782974048525","0.1523948608985045"
"260","520","520","520","0.14829128619384072","0.14576617253084803","0.15056400779894746"
"261","522","522","522","0.14948196359702","0.14815456366566465","0.152480251040214"
"262","524","524","524","0.14822420262941086","0.14741401126688408","0.14886218118969913"
"263","526","526","526","0.14798273045369795","0.14547455150991842","0.1506936564868409"
"264","528","528","528","0.14828543832320457","0.14445402361678256","0.15152879538356342"
"265","530","530","530","0.1479433324169806","0.14512449018166207","0.15044439970498924"
"266","532","532","532","0.14868122090777425","0.14538444685923152","0.15566234817981758"
"267","534","534","534","0.1491143182840658","0.14612267370601836","0.15266584167395622"
"268","536","536","536","0.14938600654988826","0.1446204435079735","0.15218171146332762"
"269","538","538","538","0.14826791773641074","0.14665025722795705","0.15182292211091808"
"270","540","540","540","0.14975190760003615","0.1473719196916032","0.15208488696413427"
"271","542","542","542","0.14919844903379242","0.1455864579359757","0.15352805866844618"
"272","544","544","544","0.14905367967035837","0.14724965697078543","0.15174521745752273"
"273","546","546","546","0.14885981803911447","0.14715243902537353","0.15050385683700837"
"274","548","548","548","0.1489929690876012","0.14777010764495616","0.15063675462765558"
"275","550","550","550","0.1489626954465899","0.1467483124086369","0.15106428349309628"
"276","552","552","552","0.14991195901273482","0.14658075441401588","0.15297972286013184"
"277","554","554","554","0.14771325769868654","0.14417708792534142","0.15089401025504726"
"278","556","556","556","0.14760942591729512","0.14450383499473546","0.15085395461332698"
"279","558","558","558","0.14668428294282101","0.14346521916212182","0.1525960384667651"
"280","560","560","560","0.1493380086843573","0.14517560281926223","0.15256417040416928"
"281","562","562","562","0.14837932903735335","0.14414623300012594","0.15058134033848353"
"282","564","564","564","0.14993911183497727","0.14714934334197616","0.15324836276567078"
"283","566","566","566","0.1493138446834561","0.14545766451204556","0.15255919427080783"
"284","568","568","568","0.14908515975974684","0.14744946518661928","0.15020040977937973"
"285","570","570","570","0.1487103230940544","0.14387800200266407","0.1513523540098157"
"286","572","572","572","0.15102207747920485","0.1465469783265282","0.15431251351424932"
"287","574","574","574","0.14877089578552916","0.14604999202614286","0.15165711110452276"
"288","576","576","576","0.14920757112827","0.14619821931362154","0.15246802675211535"
"289","578","578","578","0.14836613721881808","0.1457514683251281","0.15063864065831795"
"290","580","580","580","0.14877616472643942","0.14459613331531065","0.1542369154336619"
"291","582","582","582","0.14870964380502458","0.1471660436028695","0.15027464864158815"
"292","584","584","584","0.15062090800766598","0.14855766072951335","0.15310954062667165"
"293","586","586","586","0.14798255262668358","0.14547536131930608","0.15017949947274728"
"294","588","588","588","0.14790510248217717","0.14459055371733462","0.14973870002382472"
"295","590","590","590","0.1489039422949876","0.1480232438062057","0.14979506774299714"
"296","592","592","592","0.14791803027281203","0.14630054233830933","0.14969194223612511"
"297","594","594","594","0.14978849473484374","0.14614063421844506","0.15188678274610354"
"298","596","596","596","0.150253313383902","0.14721188527863527","0.1562111662686491"
"299","598","598","598","0.1500467964897561","0.14736422122431442","0.15295820731805998"
"300","600","600","600","0.14850195948084338","0.14639155341906518","0.15095165783847236"
"301","602","602","602","0.14921309141046415","0.14637908824318543","0.15095995942829932"
"302","604","604","604","0.14794104516907636","0.14570612219496337","0.1519792720598675"
"303","606","606","606","0.1481037162235869","0.14468548975668957","0.151795119161835"
"304","608","608","608","0.14942500958963764","0.1466942631226189","0.1510664401971283"
"305","610","610","610","0.14921877962225255","0.1472242950398415","0.15321930025454314"
"306","612","612","612","0.14973637837595927","0.14724589253720646","0.1513466431867271"
"307","614","614","614","0.14737228699958255","0.14584692969671864","0.14945507764678043"
"308","616","616","616","0.14887578355794123","0.14596728262938646","0.1510702086168693"
"309","618","618","618","0.1473238388489992","0.14549634583066945","0.1495620011639383"
"310","620","620","620","0.1494508458704606","0.1472462592609795","0.15095788254124518"
"311","622","622","622","0.15062207873989855","0.14516813910141305","0.1539364470531138"
"312","624","624","624","0.14779474605343576","0.14581397659771644","0.14946266518504325"
"313","626","626","626","0.14963549794919212","0.14620421370016276","0.1531348597910331"
"314","628","628","628","0.14922571044113203","0.14684460496923224","0.1524554274222014"
"315","630","630","630","0.14696541221299514","0.14453842048410093","0.1507098599263128"
"316","632","632","632","0.1500073737059635","0.14657266283124828","0.15418259045614446"
"317","634","634","634","0.1494763955717487","0.14544562727984545","0.1532177686960459"
"318","636","636","636","0.15119885513455905","0.14389209815332094","0.15525137019937205"
"319","638","638","638","0.14964897912244252","0.14816890752237785","0.15090802917026006"
"320","640","640","640","0.14942564464833313","0.14564662289722144","0.15450188565332568"
"321","642","642","642","0.1485113687042618","0.147030917741103","0.14982239709906928"
"322","644","644","644","0.1487050920651627","0.14725743058142862","0.1514009267480243"
"323","646","646","646","0.14901601678730128","0.1472750441171359","0.15034927102134255"
"324","648","648","648","0.1489033173329814","0.14747184351627465","0.14963419098067787"
"325","650","650","650","0.14896777988241078","0.14767846372154012","0.15179927456483208"
"326","652","652","652","0.14789262803685227","0.14682232775906676","0.1499527466121908"
"327","654","654","654","0.1509748198406023","0.1483773573765586","0.15518189601770835"
"328","656","656","656","0.14904167958950995","0.1474787169450184","0.15067418633124716"
"329","658","658","658","0.14779484638643878","0.14558033230593945","0.14959164599101926"
"330","660","660","660","0.1479746676947335","0.14663401898505166","0.1500422285283579"
"331","662","662","662","0.14907030516810843","0.14756392023070308","0.15109490885044755"
"332","664","664","664","0.14899325186863963","0.14591123470945896","0.15378534028066243"
"333","666","666","666","0.1495412187481302","0.14752542330013113","0.15260754002154392"
"334","668","668","668","0.14958463038956551","0.14525654609351418","0.15391628234036495"
"335","670","670","670","0.14781899379972052","0.14609348138694023","0.14927775791611517"
"336","672","672","672","0.15015361583760303","0.1471881337002514","0.15289771889277498"
"337","674","674","674","0.15022906275403924","0.1486119903174314","0.15187833177560878"
"338","676","676","676","0.14973802231566952","0.14792058579384545","0.1521478254973447"
"339","678","678","678","0.14899236457664672","0.14616017219195843","0.15050007596024279"
"340","680","680","680","0.1480623186868666","0.14684134051333714","0.14962754375501844"
"341","682","682","682","0.14760214795192841","0.14489423452865102","0.14912518037986544"
"342","684","684","684","0.14922950247266714","0.14617539112997066","0.152860809878282"
"343","686","686","686","0.14915050046865364","0.1486458115326019","0.14964746900534728"
"344","688","688","688","0.1496384374371688","0.14857569029944837","0.15105074442547237"
"345","690","690","690","0.14845573796165368","0.14599427515694458","0.1506084385084778"
"346","692","692","692","0.14903049923581188","0.14679179289031025","0.15137630236755079"
"347","694","694","694","0.15045921530377246","0.14901632350499375","0.1518547679238302"
"348","696","696","696","0.14790664187674438","0.14651374752784088","0.14935092824407392"
"349","698","698","698","0.14856063506201816","0.14628275020091114","0.1512200719332712"
"350","700","700","700","0.14931452239031348","0.14842898424156903","0.15151902549855437"
"351","702","702","702","0.1489923176408824","0.14627110740478164","0.15229316907668852"
"352","704","704","704","0.14884718635780947","0.14781941583178518","0.14990476850303452"
"353","706","706","706","0.15041058069176455","0.1482843093567471","0.15333774408306278"
"354","708","708","708","0.14882682066997505","0.14624553745721194","0.1507789744736192"
"355","710","710","710","0.14891686933615478","0.14741291074616886","0.1500749631432613"
"356","712","712","712","0.14945500884711022","0.14662327575147094","0.15168726922605053"
"357","714","714","714","0.14842982949604164","0.14719241784477785","0.14997108906800122"
"358","716","716","716","0.14822059841576365","0.1465286000607589","0.15012036214697766"
"359","718","718","718","0.14865005480550764","0.14558100694580423","0.15222713524855933"
"360","720","720","720","0.1499463147174338","0.14528033113228905","0.153338791188488"
"361","722","722","722","0.14814204030068706","0.14586917099419855","0.15092350386606482"
"362","724","724","724","0.147165580603892","0.1456375811237489","0.1479524447598586"
"363","726","726","726","0.14816250997095065","0.14541583092852892","0.15075192018929975"
"364","728","728","728","0.14992853555889502","0.1491122161162461","0.15077417880661215"
"365","730","730","730","0.14930619515357524","0.14736275529518353","0.1525861614954829"
"366","732","732","732","0.1488054441360879","0.1469633841962789","0.15041580190251577"
"367","734","734","734","0.1478665531653109","0.14351339279227873","0.15119594843129727"
"368","736","736","736","0.14828702335037008","0.14592613878943603","0.15035207550935994"
"369","738","738","738","0.14843933952084848","0.1463922324503158","0.1511945490020585"
"370","740","740","740","0.1467670815322637","0.14383679548209394","0.1485717970674613"
"371","742","742","742","0.150066598992968","0.14825985917377738","0.15191273324616827"
